Oscilloscope data. 
Time step = 10,00 nS
Voltage step = 3,125 mV
Zero level = 157

N 	Smpl.	Trig

0	167	0
1	195	0
2	197	0
3	196	0
4	195	0
5	193	0
6	192	0
7	190	0
8	190	0
9	192	0
10	192	0
11	194	0
12	194	0
13	193	0
14	191	0
15	190	0
16	189	0
17	189	0
18	191	0
19	192	0
20	193	0
21	193	0
22	191	0
23	189	0
24	189	0
25	187	0
26	187	0
27	189	0
28	190	0
29	191	0
30	192	0
31	191	0
32	190	0
33	187	0
34	186	0
35	188	0
36	188	0
37	190	0
38	192	0
39	193	0
40	193	0
41	192	0
42	190	0
43	189	0
44	188	0
45	188	0
46	190	0
47	192	0
48	193	0
49	193	0
50	193	0
51	192	0
52	190	0
53	188	0
54	188	0
55	189	0
56	191	0
57	193	0
58	193	0
59	193	0
60	191	0
61	189	0
62	189	0
63	187	0
64	189	0
65	190	0
66	192	0
67	192	0
68	192	0
69	190	0
70	189	0
71	188	0
72	187	0
73	189	0
74	191	0
75	192	0
76	192	0
77	190	0
78	189	0
79	187	0
80	187	0
81	187	0
82	190	0
83	190	0
84	191	0
85	190	0
86	189	0
87	188	0
88	186	0
89	186	0
90	188	0
91	190	0
92	190	0
93	190	0
94	189	0
95	188	0
96	186	0
97	185	0
98	187	0
99	188	0
100	189	0
101	190	0
102	190	0
103	188	0
104	186	0
105	185	0
106	186	0
107	187	0
108	189	0
109	190	0
110	190	0
111	189	0
112	186	0
113	185	0
114	185	0
115	186	0
116	189	0
117	190	0
118	190	0
119	188	0
120	187	0
121	185	0
122	185	0
123	186	0
124	188	0
125	190	0
126	189	0
127	189	0
128	187	0
129	185	0
130	185	0
131	185	0
132	187	0
133	189	0
134	190	0
135	189	0
136	187	0
137	185	0
138	185	0
139	185	0
140	186	0
141	188	0
142	189	0
143	189	0
144	188	0
145	186	0
146	185	0
147	184	0
148	185	0
149	187	0
150	189	0
151	190	0
152	189	0
153	187	0
154	185	0
155	184	0
156	185	0
157	186	0
158	188	0
159	189	0
160	190	0
161	189	0
162	187	0
163	185	0
164	185	0
165	185	0
166	187	0
167	189	0
168	190	0
169	189	0
170	187	0
171	185	0
172	184	0
173	185	0
174	187	0
175	188	0
176	189	0
177	190	0
178	189	0
179	186	0
180	186	0
181	185	0
182	185	0
183	188	0
184	190	0
185	189	0
186	190	0
187	187	0
188	185	0
189	185	0
190	185	0
191	187	0
192	189	0
193	190	0
194	190	0
195	189	0
196	186	0
197	185	0
198	185	0
199	186	0
200	188	0
201	189	0
202	190	0
203	189	0
204	188	0
205	185	0
206	184	0
207	185	0
208	187	0
209	188	0
210	190	0
211	190	0
212	189	0
213	187	0
214	186	0
215	185	0
216	186	0
217	187	0
218	189	0
219	190	0
220	190	0
221	188	0
222	186	0
223	185	0
224	186	0
225	186	0
226	189	0
227	190	0
228	190	0
229	189	0
230	186	0
231	185	0
232	185	0
233	186	0
234	188	0
235	190	0
236	190	0
237	189	0
238	187	0
239	186	0
240	185	0
241	185	0
242	187	0
243	189	0
244	190	0
245	190	0
246	188	0
247	186	0
248	184	0
249	185	0
250	186	0
251	187	0
252	190	0
253	190	0
254	189	0
255	187	0
256	185	0
257	185	0
258	185	0
259	187	0
260	189	0
261	189	0
262	189	0
263	187	0
264	186	0
265	185	0
266	184	0
267	186	0
268	188	0
269	189	0
270	190	0
271	189	0
272	187	0
273	185	0
274	185	0
275	185	0
276	187	0
277	189	0
278	190	0
279	189	0
280	187	0
281	186	0
282	184	0
283	185	0
284	187	0
285	189	0
286	190	0
287	190	0
288	189	0
289	186	0
290	185	0
291	185	0
292	185	0
293	188	0
294	190	0
295	190	0
296	189	0
297	187	0
298	185	0
299	185	0
300	185	0
301	187	0
302	189	0
303	189	0
304	190	0
305	189	0
306	186	0
307	185	0
308	184	0
309	186	0
310	188	0
311	189	0
312	190	0
313	189	0
314	187	0
315	185	0
316	184	0
317	185	0
318	187	0
319	189	0
320	189	0
321	190	0
322	187	0
323	186	0
324	185	0
325	185	0
326	186	0
327	188	0
328	190	0
329	190	0
330	189	0
331	187	0
332	185	0
333	185	0
334	185	0
335	188	0
336	189	0
337	190	0
338	189	0
339	187	0
340	185	0
341	185	0
342	185	0
343	186	0
344	188	0
345	189	0
346	190	0
347	187	0
348	186	0
349	185	0
350	183	0
351	185	0
352	187	0
353	189	0
354	189	0
355	189	0
356	187	0
357	185	0
358	184	0
359	183	0
360	185	0
361	187	0
362	189	0
363	189	0
364	189	0
365	187	0
366	184	0
367	184	0
368	184	0
369	185	0
370	187	0
371	189	0
372	189	0
373	188	0
374	186	0
375	184	0
376	184	0
377	185	0
378	187	0
379	189	0
380	189	0
381	189	0
382	188	0
383	185	0
384	184	0
385	184	0
386	185	0
387	187	0
388	189	0
389	190	0
390	190	0
391	188	0
392	186	0
393	185	0
394	184	0
395	186	0
396	188	0
397	190	0
398	190	0
399	190	0
400	188	0
401	186	0
402	185	0
403	185	0
404	186	0
405	189	0
406	190	0
407	190	0
408	189	0
409	188	0
410	186	0
411	185	0
412	185	0
413	187	0
414	189	0
415	190	0
416	190	0
417	189	0
418	187	0
419	186	0
420	185	0
421	185	0
422	188	0
423	190	0
424	190	0
425	190	0
426	189	0
427	187	0
428	186	0
429	185	0
430	186	0
431	189	0
432	190	0
433	190	0
434	190	0
435	188	0
436	187	0
437	184	0
438	185	0
439	187	0
440	189	0
441	190	0
442	190	0
443	189	0
444	187	0
445	186	0
446	185	0
447	185	0
448	187	0
449	189	0
450	190	0
451	190	0
452	189	0
453	186	0
454	185	0
455	185	0
456	186	0
457	188	0
458	190	0
459	190	0
460	189	0
461	188	0
462	186	0
463	185	0
464	185	0
465	187	0
466	189	0
467	190	0
468	190	0
469	189	0
470	187	0
471	185	0
472	184	0
473	185	0
474	187	0
475	189	0
476	190	0
477	190	0
478	188	0
479	186	0
480	185	0
481	185	0
482	186	0
483	188	0
484	190	0
485	190	0
486	189	0
487	187	0
488	185	0
489	185	0
490	185	0
491	187	0
492	188	0
493	190	0
494	190	0
495	188	0
496	187	0
497	185	0
498	185	0
499	186	0
500	187	0
501	189	0
502	190	0
503	189	0
504	188	0
505	186	0
506	185	0
507	185	0
508	186	0
509	188	0
510	190	0
511	190	0
512	189	0
513	187	0
514	185	0
515	184	0
516	185	0
517	188	0
518	190	0
519	190	0
520	190	0
521	189	0
522	186	0
523	185	0
524	184	0
525	186	0
526	189	0
527	190	0
528	190	0
529	189	0
530	187	0
531	186	0
532	185	0
533	185	0
534	187	0
535	189	0
536	190	0
537	190	0
538	189	0
539	186	0
540	184	0
541	185	0
542	186	0
543	188	0
544	190	0
545	190	0
546	190	0
547	187	0
548	186	0
549	184	0
550	185	0
551	186	0
552	189	0
553	190	0
554	190	0
555	189	0
556	187	0
557	185	0
558	184	0
559	185	0
560	188	0
561	189	0
562	190	0
563	190	0
564	187	0
565	186	0
566	185	0
567	184	0
568	186	0
569	189	0
570	189	0
571	190	0
572	189	0
573	187	0
574	185	0
575	185	0
576	185	0
577	188	0
578	189	0
579	190	0
580	190	0
581	188	0
582	186	0
583	184	0
584	185	0
585	186	0
586	188	0
587	190	0
588	190	0
589	189	0
590	187	0
591	186	0
592	185	0
593	185	0
594	187	0
595	189	0
596	190	0
597	190	0
598	188	0
599	186	0
600	185	0
601	185	0
602	185	0
603	187	0
604	189	0
605	190	0
606	189	0
607	187	0
608	186	0
609	185	0
610	185	0
611	187	0
612	189	0
613	190	0
614	190	0
615	188	0
616	187	0
617	185	0
618	185	0
619	185	0
620	187	0
621	190	0
622	190	0
623	189	0
